Fechas,Dispositivos,Dia,Hora
02/11/2021 08:15,65,martes,8
02/11/2021 08:30,54,martes,8
02/11/2021 08:45,36,martes,8
02/11/2021 09:00,60,martes,9
02/11/2021 09:15,33,martes,9
02/11/2021 09:30,38,martes,9
02/11/2021 09:45,23,martes,9
02/11/2021 10:00,38,martes,10
02/11/2021 10:15,35,martes,10
02/11/2021 10:30,34,martes,10
02/11/2021 10:45,21,martes,10
02/11/2021 11:00,53,martes,11
02/11/2021 11:15,15,martes,11
02/11/2021 11:30,51,martes,11
02/11/2021 11:45,30,martes,11
02/11/2021 12:00,38,martes,12
02/11/2021 12:15,30,martes,12
02/11/2021 12:30,32,martes,12
02/11/2021 12:45,26,martes,12
02/11/2021 13:00,16,martes,13
02/11/2021 13:15,43,martes,13
02/11/2021 13:30,31,martes,13
02/11/2021 13:45,39,martes,13
02/11/2021 14:00,35,martes,14
02/11/2021 14:15,32,martes,14
02/11/2021 14:30,27,martes,14
02/11/2021 14:45,35,martes,14
02/11/2021 15:00,46,martes,15
02/11/2021 15:15,32,martes,15
02/11/2021 15:30,25,martes,15
02/11/2021 15:45,29,martes,15
02/11/2021 16:00,28,martes,16
02/11/2021 16:15,29,martes,16
02/11/2021 16:30,34,martes,16
02/11/2021 16:45,27,martes,16
02/11/2021 17:00,18,martes,17
02/11/2021 17:15,25,martes,17
02/11/2021 17:30,15,martes,17
02/11/2021 17:45,22,martes,17
02/11/2021 18:00,65,martes,18
02/11/2021 18:15,24,martes,18
02/11/2021 18:30,30,martes,18
02/11/2021 18:45,65,martes,18
02/11/2021 19:00,27,martes,19
02/11/2021 19:15,45,martes,19
02/11/2021 19:30,47,martes,19
02/11/2021 19:45,44,martes,19
02/11/2021 20:00,51,martes,20
02/11/2021 20:15,18,martes,20
02/11/2021 20:30,36,martes,20
02/11/2021 20:45,29,martes,20
02/11/2021 21:00,27,martes,21
02/11/2021 21:15,16,martes,21
02/11/2021 21:30,36,martes,21
02/11/2021 21:45,51,martes,21
02/11/2021 22:00,27,martes,22
02/11/2021 22:15,22,martes,22
02/11/2021 22:30,18,martes,22
02/11/2021 22:45,28,martes,22
02/11/2021 23:00,18,martes,23
02/11/2021 23:15,14,martes,23
02/11/2021 23:30,7,martes,23
02/11/2021 23:45,6,martes,23
03/11/2021 00:00,6,miércoles,0
03/11/2021 00:15,14,miércoles,0
03/11/2021 00:30,8,miércoles,0
03/11/2021 00:45,3,miércoles,0
03/11/2021 01:00,3,miércoles,1
03/11/2021 01:15,3,miércoles,1
03/11/2021 01:30,12,miércoles,1
03/11/2021 01:45,5,miércoles,1
03/11/2021 02:00,1,miércoles,2
03/11/2021 02:15,1,miércoles,2
03/11/2021 02:45,1,miércoles,2
03/11/2021 03:00,1,miércoles,3
03/11/2021 03:45,1,miércoles,3
03/11/2021 04:45,1,miércoles,4
03/11/2021 06:15,6,miércoles,6
03/11/2021 06:30,4,miércoles,6
03/11/2021 06:45,27,miércoles,6
03/11/2021 07:00,38,miércoles,7
03/11/2021 07:15,36,miércoles,7
03/11/2021 07:30,42,miércoles,7
03/11/2021 07:45,21,miércoles,7
03/11/2021 08:00,48,miércoles,8
03/11/2021 08:15,51,miércoles,8
03/11/2021 08:30,44,miércoles,8
03/11/2021 08:45,48,miércoles,8
03/11/2021 09:00,56,miércoles,9
03/11/2021 09:15,61,miércoles,9
03/11/2021 09:30,31,miércoles,9
03/11/2021 09:45,32,miércoles,9
03/11/2021 10:00,42,miércoles,10
03/11/2021 10:15,20,miércoles,10
03/11/2021 10:30,18,miércoles,10
03/11/2021 10:45,39,miércoles,10
