No.,No. de Serie,Nombre,Etiqueta,ID,MAC Address,Latitud,Longitud,Dirección
1,10465,MOV-I-13,M01,3436,0928,21.146978,-101.70826,"Paseo de los Insurgentes 2407-2404, Desarrollo Baleares, 37318 León, Gto."
2,10466,MOV-II-01,M02,3437,0248,21.111695,-101.648188,"Blvd. Adolfo López Mateos 201, Barrio de Guadalupe, 37510 León, Gto."
3,10467,MOV-II-02,M03,3438,0120,21.100601,-101.633255,"Blvd. Adolfo López Mateos 3415, Industrial Julian de Obregon, 37290 León, Gto."
4,10468,MOV-III-02,M04,3439,08AC,21.097363,-101.6398705,"Blvd. Torres Landa Oriente 5008-5404, Jardines de Jerez, 37530 León, Gto."
5,10469,MOV-III-03,M05,3440,0A38,21.100809,-101.677101,"Blvd. Torres Landa Oriente, San Miguel INFONAVIT, 37390 León, Gto."
6,10470,MOV-I-12,M06,3441,0900,21.1553582,-101.6857845,"Blvd. Juan Alonso de Torres Pte., Residencial del Moral I, 37187 León, Gto."
7,10471,MOV-II-11,M07,3442,0934,21.142252,-101.635132,"Blvd. Juan Alonso de Torres, Leon I Ampliacion, León, Gto."
8,10472,MOV-I-10,M08,3443,0910,21.141918,-101.689255,"Paseo de los Insurgentes 210, Jardines del Moral, 37160 León, Gto."
9,10473,MOV-IV-02,M09,3444,0250,21.117025,-101.687721,"Av. Miguel Alemán, Centro, 37000 León, Gto."
10,10474,MOV-II-10,M10,3445,01F8,21.12615,-101.678917,"Hermanos Aldama 425-401, Obregon, León, Gto."
11,10475,MOV-III-04,M11,3446,08E4,21.115484,-101.685135,"Blvd. Mariano Escobedo Ote., Centro, 37000 León, Gto."
12,10476,MOV-I-02,M12,3447,08D8,21.1329442,-101.7131919,"Blvd. San Juan Bosco 1808, Vista Hermosa, 37330 León, Gto."
13,10477,MOV-I-05,M13,3448,0888,21.15366,-101.668915,"GTO 87, Hidalgo del Valle, León, Gto."
14,10478,MOV-II-03,M14,3449,091C,21.116365,-101.656674,"Zona Recreativa y Cultural, León, Gto."
15,10479,MOV-II-17,M15,3450,019C,21.1195685,-101.6626957,"Conjunto Estrella, 37260 León, Gto."
16,10480,MOV-II-04,M16,3451,0200,21.149302,-101.670799,"Blvrd Miguel Hidalgo 1808-1828, San Jeronimo I, León, Gto."
17,10481,MOV-III-11,M17,3452,01CC,21.118825,-101.680944,"Centro, 37000 León, Gto."
18,10482,MOV-II-12,M18,3453,08E0,21.104188,-101.623839,"Blvrd Jose María Morelos 4502 Col, Industrial Julian de Obregon, 37290 León, Gto."
19,10483,MOV-I-03,M19,3454,01D4,21.1333748,-101.6902196,"Calle Purísima, Industrial, 37340 León, Gto."
20,10484,MOV-I-06,M20,3455,01E0,21.128801,-101.687552,"Blvd. Adolfo López Mateos 821-289, Obregon, León, Gto."
21,10485,MOV-I-14,M21,3456,08CC,21.158909,-101.691895,"Manuel J. Clouthier, Centro Comercial, León, Gto."
22,10486,MOV-I-04,M22,3457,0920,21.1348819,-101.7170144,"Blvd. Juan Alonso de Torres Pte., León, Gto."
23,10487,MOV-I-07,M23,3458,01C4,21.13422,-101.677711,"Blvrd Miguel Hidalgo, Heroes de Chapultepec, 37190 León, Gto."
24,10488,MOV-II-05,M24,3459,01FC,21.129088,-101.660364,"Hilario Medina 1501, La Candelaria, 37260 León, Gto."
25,10489,MOV-II-13,M25,3460,0240,21.1504146,-101.6682298,"Blvd. Juan Alonso de Torres Pte. 210-226, San Jeronimo I, 37226 León, Gto."
26,10630,MOV-III-05,M26,3601,F768,21.0987835,-101.6691672,"Blvd. Torres Landa Oriente, Buenos Aires, León, Gto."
27,10636,MOV-I-15,M27,3607,0118,21.1260702,-101.6826289,"Calle 20 de Enero 315, Obregon, León, Gto."
28,10638,MOV-II-06,M28,3609,0374,21.121191,-101.671209,"Blvd. Adolfo López Mateos, Fraccion del Coecillo, 37260 León, Gto."
29,10641,MOV-III-09,M29,3612,FE7C,21.116777,-101.684227,"Centro, 37000 León, Gto."
30,10642,MOV-III-06,M30,3613,FBBC,21.112505,-101.67675,"Blvd. Mariano Escobedo Ote. 719, Andrade, 37370 León, Gto."
31,10734,MOV-IV-03,M32,3705,075C,21.102789,-101.708931,"Portales de San Sebastian 37448 León, Gto."
32,10735,MOV-III-13,M33,3706,0794,21.108515,-101.663757,"Blvd. Mariano Escobedo Ote., León Moderno, 37480 León, Gto."
33,10736,MOV-II-14,M34,3707,0770,21.134428,-101.630562,"Blvrd Jose María Morelos 7745, Fracciones de Mesa de Medina, 37238 León, Gto."
34,10737,MOV-I-09,M35,3708,080C,21.137732,-101.686683,"Blvd. Adolfo López Mateos, Obregon, 37320 León, Gto."
35,10739,MOV-II-15,M37,3710,0544,21.1394184,-101.6403737,"Blvrd Francisco Villa 3702-3746, Leon I Ampliacion, 37235 León, Gto."
